gene_id	midas_1EE_S42_Xp_blk	midas_1EM_S18_Xp_blk	midas_1XE_S43_Xp_blk	midas_1XM_S19_Xp_blk	midas_2EE_S44_Xp_blk	midas_2EM_S20_Xp_blk	midas_2XE_S45_Xp_blk	midas_2XM_S21_Xp_blk	midas_3EE_S46_Xp_blk	midas_3EM_S22_Xp_blk	midas_3XE_S47_Xp_blk	midas_3XM_S23_Xp_blk	midas_4EE_S48_Xp_blk	midas_4EM_S24_Xp_blk	midas_4XE_S49_Xp_blk	midas_4XM_S25_Xp_blk	midas_5EE_S50_Xp_blk	midas_5EM_S26_Xp_blk	midas_5XE_S51_Xp_blk	midas_5XM_S27_Xp_blk	midas_6EE_S52_Xp_blk	midas_6EM_S28_Xp_blk	midas_6XE_S53_Xp_blk	midas_6XM_S29_Xp_blk
SUPERPANG_01359	1783	2409	394	15	2076	2270	306	172	1284	2188	952	66	1902	2273	1504	48	1303	1327	505	76	1382	1933	49	26
SUPERPANG_01360	1459	1882	376	10	1692	1783	258	146	1040	1738	856	82	1453	1685	1156	38	951	1014	407	60	1035	1542	45	13
SUPERPANG_01361	8662	7552	2328	55	8914	7115	1077	432	4617	7133	5462	51	7460	7262	4642	113	4453	4875	1568	348	4252	7894	180	85
SUPERPANG_01362	1485	1698	396	22	1584	1679	203	118	954	1438	913	59	1429	1675	1124	54	905	1028	362	67	968	1473	48	31
SUPERPANG_01363	3463	4457	1240	57	4822	4364	521	321	2569	3876	2187	40	3913	4108	2667	60	2237	2738	967	182	2738	4070	84	48
SUPERPANG_01364	3601	4979	1419	22	5434	4731	571	298	2710	4735	2003	81	4005	4839	2955	54	2373	3210	1022	207	2764	4332	93	66
SUPERPANG_01365	1198	1922	359	15	1817	1928	220	113	976	1780	642	11	1517	1944	1327	41	974	1076	439	50	1106	1617	44	42
SUPERPANG_01366	170	296	46	1	266	304	25	24	160	284	89	1	173	276	222	5	194	177	56	9	200	242	7	2
SUPERPANG_01367	3463	5094	1267	26	5530	4697	390	279	2989	4720	1611	17	3902	4718	3121	43	2269	3203	978	171	2953	4729	58	37
SUPERPANG_01368	16036	20706	5717	206	22565	19434	2184	1215	13402	19147	7473	472	17492	18979	12728	467	12405	12794	4472	957	13810	19710	548	304
SUPERPANG_01369	11347	17422	4158	140	16627	16121	1653	999	10212	16112	6066	153	13608	16519	10616	277	8687	10551	3567	725	10551	15059	370	238
SUPERPANG_01370	1796	2791	595	21	2450	2513	324	186	1593	2551	1187	21	2148	2658	1792	51	1720	1845	609	83	1893	2276	80	39
SUPERPANG_01371	1688	2397	552	19	2078	2150	253	149	1296	2198	1081	22	1981	2180	1458	34	1543	1442	509	107	1513	1865	60	30
SUPERPANG_01372	32666	35157	10082	370	38784	33255	4291	2286	24079	31970	20850	1110	30980	33662	21825	827	23131	21937	8083	1617	23841	34583	923	598
SUPERPANG_01373	30873	34499	9151	267	36337	32438	4655	2391	23617	32159	17793	837	29388	32364	21181	684	27888	21784	8224	1522	24656	31975	873	491
SUPERPANG_01374	1873	2381	603	9	2603	2150	404	141	1367	1976	1227	34	1997	2217	1390	29	1922	1354	541	119	1439	1980	55	15
SUPERPANG_01375	3596	3630	1024	32	3881	3445	640	240	2347	3489	2716	44	3382	3400	2236	57	3219	2346	886	145	2584	3720	104	36
SUPERPANG_01376	6030	5299	1658	53	6091	4882	782	329	3534	5174	4327	37	5013	4986	3216	73	4114	3463	1153	216	3656	5760	149	73
SUPERPANG_01377	2412	2813	741	13	2843	2739	376	158	1956	2764	1345	8	2423	2856	1805	51	2101	1842	568	106	2032	2807	76	34
SUPERPANG_01378	2281	3449	665	21	3105	3133	371	191	2163	3169	1432	22	2570	3262	2084	29	2294	2105	722	111	2380	2785	64	24
SUPERPANG_01379	1593	2155	461	17	2250	2072	221	112	1420	1982	888	4	1637	2072	1476	19	1509	1446	438	97	1623	1843	40	8
SUPERPANG_01380	37	68	15	4	36	42	10	4	48	60	19	6	34	59	37	2	73	36	15	9	54	61	4	1
SUPERPANG_01395	11885	7739	2585	40	11102	7809	1568	512	13390	7615	7522	26	8921	7534	5398	45	10623	5618	3699	491	11426	8560	165	85
SUPERPANG_01396	19151	15027	4652	96	20391	14884	2855	928	21820	14225	11446	83	15345	14410	10434	108	18802	10421	6090	673	19570	15572	331	160
SUPERPANG_01397	16421	14124	4145	88	18038	13879	2129	883	14831	13444	9858	87	14328	14623	9807	109	14628	10044	4219	658	15653	14318	197	166
SUPERPANG_01398	16072	14628	4289	95	18391	13584	2278	940	17566	13585	10724	85	13952	13874	9984	109	15651	9872	5369	666	17411	15157	257	154
SUPERPANG_01399	23618	15458	4921	96	21316	14911	2960	1072	25969	14647	15493	78	17246	15002	10123	116	20195	11120	10486	741	25734	17024	388	153
SUPERPANG_01400	27675	18603	6242	132	25583	17183	3500	1229	28088	18015	17717	60	20477	18409	12304	95	22215	12718	10476	866	28843	20301	374	204
SUPERPANG_01401	19454	15180	4600	77	20066	14305	2713	897	20590	13703	12486	71	15817	14295	10240	143	17526	10701	6044	624	20152	15509	327	185
SUPERPANG_01402	19515	15161	4728	83	20045	14697	2567	1005	22907	14027	14106	67	16039	14614	10377	82	18693	10439	10815	741	22517	16054	365	187
SUPERPANG_01403	2575	2125	666	17	2842	2218	328	123	2717	2066	1686	10	2235	2095	1345	16	2836	1551	1238	98	3017	2298	37	22
SUPERPANG_01404	1598	1522	444	8	1652	1414	243	125	1822	1389	1089	11	1225	1431	873	20	1412	1041	648	71	2051	1448	58	24
SUPERPANG_01405	3738	3080	950	12	3862	3048	596	178	4278	2991	2802	22	2830	2973	1944	29	3200	2149	1351	109	4040	3340	76	24
SUPERPANG_01406	2742	2573	681	19	2765	2372	373	116	2897	2417	1947	7	2096	2250	1503	11	2210	1625	924	89	2980	2534	40	35
